"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"20" 1 "cofeeding_direct_2021_day_1_meters_25_window_14" "A05w" 0.923076923076923 0 0.0257288342238319 1 "Adult" NA "red"
"27" 1 "cofeeding_direct_2021_day_1_meters_25_window_14" "A15w" 0.269230769230769 0.0307692307692308 0.00236669415856851 1 "Adult" "m" "red"
"141" 2 "cofeeding_direct_2021_day_2_meters_25_window_14" "Y27b" 0.177777777777778 0 0.0190031562335613 1 "Juvenile" NA "red"
"181" 2 "cofeeding_direct_2021_day_2_meters_25_window_14" "A03w" 0.533333333333333 0.137188552188552 0.0564176749079432 1 "Adult" "f" "red"
"411" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J06w" 0.508474576271186 0.0358464835378921 0.0130642229627386 1 "Adult" "f" "red"
"82" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J17w" 0.610169491525424 0.0350672121566335 0.0422977885489246 1 "Juvenile" "m" "red"
"92" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "E02w" 0.372881355932203 0.00631209818819404 0.0389275976976674 1 "Adult" NA "red"
"182" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A03w" 0.372881355932203 0 0.0323008179339594 1 "Adult" "f" "red"
"192" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A31w" 0.372881355932203 0 0.038813995758861 1 "Juvenile" "m" "red"
"202" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A35w" 0.627118644067797 0.0211864406779661 0.0677824901544986 1 "Juvenile" "f" "red"
"213" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A53w" 0.576271186440678 0.0629748684979544 0.0496440472584065 0 "Juvenile" NA "blue"
"222" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J11w" 0.355932203389831 0 0.034345652832475 0 "Juvenile" "m" "blue"
"232" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J18w" 0.372881355932203 0 0.024840957285671 1 "Juvenile" NA "red"
"262" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "T71w" 0.355932203389831 0.000292226767971946 0.0226446531354135 1 "Juvenile" NA "red"
"281" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J15w" 0.525423728813559 0.168546658873953 0.02635564980309 0 "Adult" NA "blue"
"291" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "E07w" 0.338983050847458 0.0564744463926229 0.00337019085125719 1 "Adult" "m" "red"
"312" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J16w" 0.355932203389831 0 0.0174568312632536 1 "Juvenile" "m" "red"
"331" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A33w" 0.355932203389831 0.00408143385934152 0.0383595880036353 1 "Juvenile" NA "red"
"341" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A39w" 0.355932203389831 0 0.0303317176613148 1 "Juvenile" "m" "red"
"371" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "E00w" 0.101694915254237 0.00677966101694915 0.00242350802787034 1 "Juvenile" "f" "red"
"381" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "E05w" 0.305084745762712 0.153574907461523 0.00927749166919115 1 "Juvenile" "f" "red"
"401" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "J12w" 0.11864406779661 0.0235015260731216 0.00200696758558013 0 "Adult" "f" "blue"
"50" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A08w" 0.0338983050847458 0 0.000681611632838534 1 "Juvenile" NA "red"
"55" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A32w" 0.0847457627118644 0 0.00337019085125719 1 "Adult" NA "red"
"57" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "E04w" 0.101694915254237 0.0814046366647185 0.000378673129354741 1 "Juvenile" NA "red"
"59" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "A02w" 0.0169491525423729 0 0.00166616176916086 1 "Juvenile" NA "red"
"60" 3 "cofeeding_direct_2021_day_3_meters_25_window_14" "T91b" 0.0169491525423729 0 0.00136322326567707 1 "Adult" "m" "red"
"214" 4 "cofeeding_direct_2021_day_4_meters_25_window_14" "A78w" 0.772727272727273 0.0498155263539879 0.00543644208430136 1 "Juvenile" "m" "red"
"610" 4 "cofeeding_direct_2021_day_4_meters_25_window_14" "J39w" 0.484848484848485 0.00219114219114219 0.00895453036840358 1 "Juvenile" "m" "red"
"116" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "A16w" 0.508771929824561 0.00868664717348928 0.0327202978675392 1 "Adult" "f" "red"
"315" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "E10w" 0.368421052631579 0 0.0234683515739592 1 "Juvenile" "m" "red"
"415" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "E11w" 0.596491228070175 0.0645258980785297 0.0422543156944601 1 "Juvenile" "m" "red"
"94" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "A00w" 0.263157894736842 0 0.0169242920004513 1 "Adult" NA "red"
"124" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "A55w" 0.578947368421053 0.0168203246210765 0.0484034751212908 1 "Adult" "m" "red"
"134" 5 "cofeeding_direct_2021_day_5_meters_25_window_14" "J38w" 0.578947368421053 0.0288220551378446 0.0327202978675392 1 "Adult" NA "red"
