"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"23" 1 "cofeeding_indirect_2021_day_1_meters_25_window_14" "A05w" 1 0 0.0169848609143113 1 "Adult" NA "red"
"27" 1 "cofeeding_indirect_2021_day_1_meters_25_window_14" "A15w" 0.5 0 0.0175162204489522 1 "Adult" "m" "red"
"210" 2 "cofeeding_indirect_2021_day_2_meters_25_window_14" "Y27b" 0.184210526315789 0 0.0412892914224827 1 "Juvenile" NA "red"
"211" 2 "cofeeding_indirect_2021_day_2_meters_25_window_14" "A03w" 0.0526315789473684 0 0.00039957378795951 1 "Adult" "f" "red"
"112" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "A08w" 0.177777777777778 0.054040404040404 0.0585231736056559 1 "Juvenile" NA "red"
"212" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "J12w" 0.177777777777778 0.136363636363636 0.0239591516103692 0 "Adult" "f" "blue"
"411" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "A35w" 0.266666666666667 0.232323232323232 0.0392772977219167 1 "Juvenile" "f" "red"
"511" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "E02w" 0.155555555555556 0.23030303030303 0.0435978004713276 1 "Adult" NA "red"
"611" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "J17w" 0.288888888888889 0.276262626262626 0.0879811468970935 1 "Juvenile" "m" "red"
"82" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "J06w" 0.0444444444444444 0 0.00510604870384918 1 "Adult" "f" "red"
"122" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "T71w" 0.133333333333333 0.0383838383838384 0.0133542812254517 1 "Juvenile" NA "red"
"182" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "A53w" 0.244444444444444 0.134848484848485 0.0231736056559309 0 "Juvenile" NA "blue"
"222" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "A31w" 0.111111111111111 0.0375420875420875 0.0125687352710134 1 "Juvenile" "m" "red"
"232" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "A03w" 0.0666666666666667 0 0.00353495679497251 1 "Adult" "f" "red"
"242" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "J11w" 0.0666666666666667 0.0156565656565657 0.00785545954438335 0 "Juvenile" "m" "blue"
"252" 3 "cofeeding_indirect_2021_day_3_meters_25_window_14" "J15w" 0.0666666666666667 0.0101010101010101 0.002356637863315 0 "Adult" NA "blue"
