"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"14" 1 "cofeeding_direct_2021_day_1_meters_75_window_14" "A05w" 0.923076923076923 0 0.0256704682573664 1 "Adult" NA "red"
"19" 1 "cofeeding_direct_2021_day_1_meters_75_window_14" "A15w" 0.307692307692308 0.06 0.00349344128293955 1 "Adult" "m" "red"
"161" 2 "cofeeding_direct_2021_day_2_meters_75_window_14" "Y27b" 0.2 0.0037037037037037 0.0187862305875617 1 "Juvenile" NA "red"
"191" 2 "cofeeding_direct_2021_day_2_meters_75_window_14" "A03w" 0.577777777777778 0.0434343434343434 0.061690402919917 1 "Adult" "f" "red"
"411" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J06w" 0.590163934426229 0.0615391029735292 0.0146000080440816 1 "Adult" "f" "red"
"69" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "T71w" 0.409836065573771 0 0.025539958975184 1 "Juvenile" NA "red"
"82" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J12w" 0.163934426229508 0.0967815153880728 0.00227245304267385 0 "Adult" "f" "blue"
"102" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J17w" 0.655737704918033 0.0621311475409836 0.03740497928649 1 "Juvenile" "m" "red"
"113" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "E02w" 0.409836065573771 0.0342440801457195 0.0328399629972248 1 "Adult" NA "red"
"202" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A03w" 0.377049180327869 0 0.0345091099223746 1 "Adult" "f" "red"
"213" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A31w" 0.377049180327869 0 0.0350118650203113 1 "Juvenile" "m" "red"
"222" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A35w" 0.655737704918033 0.154477621649753 0.0625025137754897 1 "Juvenile" "f" "red"
"232" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A53w" 0.60655737704918 0 0.0519647669227366 0 "Juvenile" NA "blue"
"262" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J11w" 0.377049180327869 0 0.0301653058762016 0 "Juvenile" "m" "blue"
"272" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J18w" 0.377049180327869 0 0.0225234283875639 1 "Juvenile" NA "red"
"291" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J15w" 0.508196721311475 0.0124043715846995 0.0257008406065238 0 "Adult" NA "blue"
"301" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "E07w" 0.377049180327869 0.0842282307856078 0.00613361219482766 1 "Adult" "m" "red"
"321" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "J16w" 0.344262295081967 0 0.0146402284519165 1 "Juvenile" "m" "red"
"341" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A33w" 0.344262295081967 0 0.0326589711619676 1 "Juvenile" NA "red"
"351" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A39w" 0.344262295081967 0 0.0282347263001247 1 "Juvenile" "m" "red"
"381" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "E00w" 0.262295081967213 0.242621649752797 0.00305675099545509 1 "Juvenile" "f" "red"
"391" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "E05w" 0.360655737704918 0.13227816809784 0.00820496319832683 1 "Juvenile" "f" "red"
"50" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "E04w" 0.295081967213115 0.0548269581056466 0.00263443671318827 1 "Juvenile" NA "red"
"52" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A08w" 0.0327868852459016 0 0.00100551019587339 1 "Juvenile" NA "red"
"58" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A32w" 0.0983606557377049 0.0327868852459016 0.00269476732494067 1 "Adult" NA "red"
"61" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "A02w" 0.0163934426229508 0 0.00102562039979085 1 "Juvenile" NA "red"
"62" 3 "cofeeding_direct_2021_day_3_meters_75_window_14" "T91b" 0.0327868852459016 0 0.000804408156698709 1 "Adult" "m" "red"
"313" 4 "cofeeding_direct_2021_day_4_meters_75_window_14" "A78w" 0.893939393939394 0.0648851148851149 0.00525505061710395 1 "Juvenile" "m" "red"
"73" 4 "cofeeding_direct_2021_day_4_meters_75_window_14" "J39w" 0.5 0 0.00773360886956191 1 "Juvenile" "m" "red"
"116" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A00w" 0.254237288135593 0 0.0182493861570111 1 "Adult" NA "red"
"216" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A16w" 0.491525423728814 0 0.0418740460548145 1 "Adult" "f" "red"
"415" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "E10w" 0.355932203389831 0 0.021633817771584 1 "Juvenile" "m" "red"
"514" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "E11w" 0.644067796610169 0.0775897490391938 0.0363660495056075 1 "Juvenile" "m" "red"
"124" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A55w" 0.627118644067797 0 0.0515959917711859 1 "Adult" "m" "red"
"134" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "J38w" 0.593220338983051 0.0248727529046056 0.0504014864954542 1 "Adult" NA "red"
"194" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "T15w" 0.423728813559322 0.0770234489842906 0.0038157807419205 0 "Adult" "f" "blue"
"204" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "T53b" 0.491525423728814 0.0969172816922671 0.00554117725131064 1 "Adult" "m" "red"
"217" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A10w" 0.203389830508475 0.0103926043435102 0.0020572035304267 0 "Adult" NA "blue"
"234" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A22w" 0.474576271186441 0.0218596691638772 0.00826199482381047 0 "Adult" NA "blue"
"293" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "T14w" 0.288135593220339 0 0.0179175791359745 0 "Adult" "m" "blue"
"316" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "E13w" 0.23728813559322 0.0111972189120056 0.00919105448271285 1 "Juvenile" "m" "red"
"353" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "E12w" 0.525423728813559 0.140190820933077 0.0156612913929259 1 "Juvenile" "m" "red"
"393" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A29w" 0.152542372881356 0.017622381028284 0.000895878956798726 1 "Adult" "f" "red"
"433" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "E15w" 0.0677966101694915 0.0631209818819404 0.000398168425243878 1 "Adult" "m" "red"
"453" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "T66w" 0.0677966101694915 0 0.000995421063109695 1 "Juvenile" NA "red"
"592" 5 "cofeeding_direct_2021_day_5_meters_75_window_14" "A58w" 0.0169491525423729 0 0.000729975446280443 1 "Juvenile" NA "red"
"3" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "E13w" 0.666666666666667 5.32821824381927e-05 0.0216566690190543 1 "Juvenile" "m" "red"
"8" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "J06w" 0.449275362318841 0.0095207648276702 0.0172018348623853 0 "Adult" "f" "blue"
"17" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "E45w" 0.391304347826087 0.00534344172451589 0.0198041637261821 1 "Juvenile" "f" "red"
"192" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "J17w" 0.710144927536232 0.000363418070654418 0.0363443895553987 1 "Juvenile" "m" "red"
"28" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "T50b" 0.492753623188406 0.0965157199586265 0.00458715596330275 1 "Adult" "m" "red"
"51" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "E38w" 0.376811594202899 0 0.0142907551164432 1 "Juvenile" "m" "red"
"54" 1 "cofeeding_direct_2022_day_1_meters_75_window_14" "E17w" 0.405797101449275 0.0895756770267828 0.00427840508115737 1 "Adult" "m" "red"
"210" 2 "cofeeding_direct_2022_day_2_meters_75_window_14" "E06w" 0.536231884057971 5.32821824381927e-05 0.0156517224529685 1 "Adult" "m" "red"
"310" 2 "cofeeding_direct_2022_day_2_meters_75_window_14" "T19b" 0.782608695652174 0.00726058539357772 0.037900073295871 1 "Adult" "m" "red"
"510" 2 "cofeeding_direct_2022_day_2_meters_75_window_14" "T14w" 0.681159420289855 0 0.0385872220864891 1 "Adult" "m" "red"
"610" 2 "cofeeding_direct_2022_day_2_meters_75_window_14" "A03w" 0.739130434782609 0 0.0307537258734425 1 "Adult" "f" "red"
