"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"12" 1 "cofeeding_indirect_2021_day_1_meters_75_window_14" "A15w" 0.615384615384615 0.0123076923076923 0.0177366320830008 1 "Adult" "m" "red"
"23" 1 "cofeeding_indirect_2021_day_1_meters_75_window_14" "A05w" 1 0 0.0259696727853152 1 "Adult" NA "red"
"610" 2 "cofeeding_indirect_2021_day_2_meters_75_window_14" "A03w" 0.325581395348837 0.224252491694352 0.0142329020332717 1 "Adult" "f" "red"
"251" 2 "cofeeding_indirect_2021_day_2_meters_75_window_14" "Y27b" 0.209302325581395 0.0465116279069767 0.036660505237215 1 "Juvenile" NA "red"
"112" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A08w" 0.160714285714286 0.0344155844155844 0.019578313253012 1 "Juvenile" NA "red"
"212" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J12w" 0.160714285714286 0.0546753246753247 0.0186746987951807 0 "Adult" "f" "blue"
"411" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J17w" 0.303571428571429 0.0357142857142857 0.0761044176706827 1 "Juvenile" "m" "red"
"511" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A35w" 0.410714285714286 0 0.0659638554216867 1 "Juvenile" "f" "red"
"611" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "T71w" 0.214285714285714 0.0357142857142857 0.0199799196787149 1 "Juvenile" NA "red"
"72" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "E02w" 0.214285714285714 0.0383225108225108 0.0274096385542169 1 "Adult" NA "red"
"92" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J06w" 0.0714285714285714 0 0.0035140562248996 1 "Adult" "f" "red"
"142" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A53w" 0.357142857142857 0.129032673675531 0.0283132530120482 0 "Juvenile" NA "blue"
"192" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A33w" 0.125 0.00851731601731602 0.0671686746987952 1 "Juvenile" NA "red"
"222" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A31w" 0.303571428571429 0.0810606060606061 0.0298192771084337 1 "Juvenile" "m" "red"
"272" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A03w" 0.25 0 0.0278112449799197 1 "Adult" "f" "red"
"281" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J15w" 0.232142857142857 0.0655194805194805 0.019578313253012 0 "Adult" NA "blue"
"291" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J11w" 0.160714285714286 0 0.0197791164658635 0 "Juvenile" "m" "blue"
"301" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J18w" 0.160714285714286 0.0733116883116883 0.00451807228915663 1 "Juvenile" NA "red"
"341" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "E07w" 0.0892857142857143 0 0.00572289156626506 1 "Adult" "m" "red"
"351" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "E04w" 0.0714285714285714 0 0.00662650602409639 1 "Juvenile" NA "red"
"361" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "E00w" 0.0892857142857143 0.0316810966810967 0.00823293172690763 1 "Juvenile" "f" "red"
"412" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A39w" 0.0892857142857143 0.0122850958565244 0.00180722891566265 1 "Juvenile" "m" "red"
"421" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "E05w" 0.196428571428571 0.0514744382601525 0.00562248995983936 1 "Juvenile" "f" "red"
"431" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A02w" 0.0357142857142857 0 0.00642570281124498 1 "Juvenile" NA "red"
"441" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "A32w" 0.142857142857143 0.024025974025974 0.00421686746987952 1 "Adult" NA "red"
"46" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "T91b" 0.125 0 0.00622489959839357 1 "Adult" "m" "red"
"57" 3 "cofeeding_indirect_2021_day_3_meters_75_window_14" "J16w" 0.0178571428571429 0 0.000200803212851406 1 "Juvenile" "m" "red"
"413" 4 "cofeeding_indirect_2021_day_4_meters_75_window_14" "A78w" 0.926470588235294 0 0.00458800083845552 1 "Juvenile" "m" "red"
"133" 4 "cofeeding_indirect_2021_day_4_meters_75_window_14" "J39w" 0.455882352941176 0.00570676031606672 0.000954436724351584 1 "Juvenile" "m" "red"
"415" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "A16w" 0.365384615384615 0.0640648567119155 0.027027027027027 1 "Adult" "f" "red"
"514" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "A00w" 0.0384615384615385 0.00150829562594268 0.000386100386100386 1 "Adult" NA "red"
"134" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "A55w" 0.423076923076923 0.00336014747779454 0.0725868725868726 1 "Adult" "m" "red"
"154" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "E12w" 0.442307692307692 0.0156611362493715 0.0251516822945394 1 "Juvenile" "m" "red"
"164" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "E13w" 0.423076923076923 0 0.0324875896304468 1 "Juvenile" "m" "red"
"174" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "J38w" 0.461538461538462 0.0500754147812971 0.0952013237727523 1 "Adult" NA "red"
"184" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "T14w" 0.384615384615385 0 0.0666850523993381 0 "Adult" "m" "blue"
"234" 5 "cofeeding_indirect_2021_day_5_meters_75_window_14" "A10w" 0.307692307692308 0.0134489693313223 0.0175951461665747 0 "Adult" NA "blue"
