"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "coroosting_direct_2021_day_1_meters_100_window_14" "A05w" 0.925925925925926 0.099680566347233 0.0458646616541353 1 "Adult" NA "red"
"10" 1 "coroosting_direct_2021_day_1_meters_100_window_14" "A15w" 0.740740740740741 0.0169189863634308 0.0518796992481203 1 "Adult" "m" "red"
"210" 2 "coroosting_direct_2021_day_2_meters_100_window_14" "A03w" 0.854166666666667 0.00655997734637787 0.032441997640582 1 "Adult" "f" "red"
"161" 2 "coroosting_direct_2021_day_2_meters_100_window_14" "Y27b" 0.6875 0.013639148021212 0.0283130161226897 1 "Juvenile" NA "red"
"112" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A08w" 0.457142857142857 0.0295558935202126 0.0081254724111867 1 "Juvenile" NA "red"
"212" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E02w" 0.614285714285714 0.00396105019929196 0.0319349962207105 1 "Adult" NA "red"
"311" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J06w" 0.7 0.00436586167621956 0.0330687830687831 1 "Adult" "f" "red"
"411" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J12w" 0.414285714285714 0.00520241094815756 0.0103930461073318 0 "Adult" "f" "blue"
"511" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J16w" 0.371428571428571 0.010610025803932 0.00850340136054422 1 "Juvenile" "m" "red"
"82" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A53w" 0.657142857142857 0.0164384565850537 0.0183295540438398 0 "Juvenile" NA "blue"
"102" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E04w" 0.571428571428571 0.00560012208858844 0.0224867724867725 1 "Juvenile" NA "red"
"113" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J11w" 0.6 0.018871359742451 0.0160619803476946 0 "Juvenile" "m" "blue"
"142" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A03w" 0.628571428571429 0.0104562419446053 0.0213529856386999 1 "Adult" "f" "red"
"152" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A39w" 0.471428571428571 0.0162857853001674 0.0111489040060469 1 "Juvenile" "m" "red"
"162" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A31w" 0.628571428571429 0.0341001650164529 0.0183295540438398 1 "Juvenile" "m" "red"
"222" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E05w" 0.3 0.0080829873033259 0.00585789871504157 1 "Juvenile" "f" "red"
"242" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E00w" 0.614285714285714 0.0171310839777545 0.0190854119425548 1 "Juvenile" "f" "red"
"252" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "T71w" 0.342857142857143 0.0168980320081268 0.00585789871504157 1 "Juvenile" NA "red"
"301" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E03w" 0.171428571428571 5.91540964211772e-05 0.00774754346182918 1 "Adult" "m" "red"
"331" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "T91b" 0.142857142857143 0.00370262490306361 0.00207860922146636 1 "Adult" "m" "red"
"341" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A35w" 0.342857142857143 0.00981069110733167 0.00604686318972033 1 "Juvenile" "f" "red"
"401" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J15w" 0.585714285714286 0.0108742861569041 0.0192743764172336 0 "Adult" NA "blue"
"421" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A33w" 0.471428571428571 0.0155450894177339 0.0103930461073318 1 "Juvenile" NA "red"
"53" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "E07w" 0.442857142857143 0.00694023863621317 0.0120937263794407 1 "Adult" "m" "red"
"54" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "A02w" 0.371428571428571 0.00694892444962541 0.00850340136054422 1 "Juvenile" NA "red"
"55" 3 "coroosting_direct_2021_day_3_meters_100_window_14" "J17w" 0.342857142857143 0.00922865902886984 0.00661375661375661 1 "Juvenile" "m" "red"
