"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"3" 1 "coroosting_indirect_2021_day_1_meters_10_window_14" "A05w" 0.5 0.134585652442795 0.179487179487179 1 "Adult" NA "red"
"9" 1 "coroosting_indirect_2021_day_1_meters_10_window_14" "A15w" 0.136363636363636 0.0453257060399918 0.0256410256410256 1 "Adult" "m" "red"
"510" 2 "coroosting_indirect_2021_day_2_meters_10_window_14" "A03w" 0.340909090909091 0.192173008190057 0.0273037542662116 1 "Adult" "f" "red"
"69" 2 "coroosting_indirect_2021_day_2_meters_10_window_14" "Y27b" 0.295454545454545 0.0267965181725826 0.0273037542662116 1 "Juvenile" NA "red"
"411" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J11w" 0.1 0.00402188834392224 0.0114795918367347 0 "Juvenile" "m" "blue"
"142" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E03w" 0.0833333333333333 0.000829620003348817 0.0293367346938776 1 "Adult" "m" "red"
"213" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J18w" 0.15 0.0280509180085451 0.0127551020408163 1 "Juvenile" NA "red"
"222" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A39w" 0.233333333333333 0.0694954789895026 0.0204081632653061 1 "Juvenile" "m" "red"
"241" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A31w" 0.183333333333333 0.0527789456528839 0.0204081632653061 1 "Juvenile" "m" "red"
"251" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E02w" 0.35 0.0438655923678687 0.0701530612244898 1 "Adult" NA "red"
"261" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A08w" 0.15 0.0316877054114284 0.0127551020408163 1 "Juvenile" NA "red"
"281" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A53w" 0.116666666666667 0.0409391423480734 0.00892857142857143 0 "Juvenile" NA "blue"
"291" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A02w" 0.116666666666667 0.0244283509961476 0.00892857142857143 1 "Juvenile" NA "red"
"301" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E07w" 0.05 0.000467188179052586 0.0038265306122449 1 "Adult" "m" "red"
"331" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J17w" 0.0833333333333333 0.00565483951077171 0.00637755102040816 1 "Juvenile" "m" "red"
"361" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A03w" 0.216666666666667 0.0679027466828994 0.0191326530612245 1 "Adult" "f" "red"
"381" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J12w" 0.0333333333333333 0 0.0038265306122449 0 "Adult" "f" "blue"
"401" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J06w" 0.3 0.125886739331414 0.0280612244897959 1 "Adult" "f" "red"
"412" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A33w" 0.116666666666667 0.047622284254182 0.00892857142857143 1 "Juvenile" NA "red"
"48" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J15w" 0.0666666666666667 0.00093153080441216 0.00637755102040816 0 "Adult" NA "blue"
"50" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E04w" 0.0166666666666667 0 0.00127551020408163 1 "Juvenile" NA "red"
"51" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A75w" 0.0166666666666667 0 0.00510204081632653 1 "Adult" NA "red"
"52" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E00w" 0.116666666666667 0.0850811124283157 0.00892857142857143 1 "Juvenile" "f" "red"
"54" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A35w" 0.116666666666667 0.0625383746028391 0.0114795918367347 1 "Juvenile" "f" "red"
"56" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "E05w" 0.0666666666666667 0.00184895769641532 0.0076530612244898 1 "Juvenile" "f" "red"
"57" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "A32w" 0.0333333333333333 0.0131232134288184 0.00255102040816327 1 "Adult" NA "red"
"59" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "T71w" 0.0166666666666667 0 0.00127551020408163 1 "Juvenile" NA "red"
"60" 3 "coroosting_indirect_2021_day_3_meters_10_window_14" "J16w" 0.0333333333333333 0 0.00255102040816327 1 "Juvenile" "m" "red"
"173" 4 "coroosting_indirect_2021_day_4_meters_10_window_14" "A78w" 0.104477611940299 0.00611845977796972 0.00612244897959184 1 "Juvenile" "m" "red"
"302" 4 "coroosting_indirect_2021_day_4_meters_10_window_14" "J39w" 0.223880597014925 0.0199318927757083 0.0129251700680272 1 "Juvenile" "m" "red"
"116" 5 "coroosting_indirect_2021_day_5_meters_10_window_14" "A10w" 0.0425531914893617 0.0140816116764313 0.00510204081632653 0 "Adult" NA "blue"
"216" 5 "coroosting_indirect_2021_day_5_meters_10_window_14" "A00w" 0.0851063829787234 0.077104532839963 0.0102040816326531 1 "Adult" NA "red"
"514" 5 "coroosting_indirect_2021_day_5_meters_10_window_14" "A29w" 0.0638297872340425 0.0593586185630589 0.0102040816326531 1 "Adult" "f" "red"
"613" 5 "coroosting_indirect_2021_day_5_meters_10_window_14" "J38w" 0.0212765957446809 0 0.00255102040816327 1 "Adult" NA "red"
