"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "cofeeding_direct_2021_day_1_meters_25_window_28" "A05w" 1 0 0.0379011616459933 1 "Adult" NA "red"
"3" 1 "cofeeding_direct_2021_day_1_meters_25_window_28" "A15w" 0.888888888888889 0.00284900284900285 0.018667552667848 1 "Adult" "m" "red"
"81" 2 "cofeeding_direct_2021_day_2_meters_25_window_28" "Y27b" 0.58695652173913 0 0.0556447298020332 1 "Juvenile" NA "red"
"121" 2 "cofeeding_direct_2021_day_2_meters_25_window_28" "A03w" 0.739130434782609 0 0.0562924164343443 1 "Adult" "f" "red"
"411" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J16w" 0.548387096774194 0 0.0440122377622378 1 "Juvenile" "m" "red"
"511" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J18w" 0.564516129032258 0.0179358364181209 0.0350087412587413 1 "Juvenile" NA "red"
"122" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "A03w" 0.548387096774194 0 0.0454545454545455 1 "Adult" "f" "red"
"132" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J06w" 0.693548387096774 0.0414891912247809 0.0382575757575758 1 "Adult" "f" "red"
"142" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J11w" 0.532258064516129 0 0.0513548951048951 0 "Juvenile" "m" "blue"
"152" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J15w" 0.67741935483871 0.114304772435391 0.0321824009324009 0 "Adult" NA "blue"
"162" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J17w" 0.661290322580645 0.00374581350255597 0.0455856643356643 1 "Juvenile" "m" "red"
"252" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "J12w" 0.435483870967742 0.0244237723613715 0.0169434731934732 0 "Adult" "f" "blue"
"272" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "A53w" 0.564516129032258 0.0754106754635575 0.0192599067599068 0 "Juvenile" NA "blue"
"301" 3 "cofeeding_direct_2021_day_3_meters_25_window_28" "E02w" 0.370967741935484 0.0242483381827644 0.0151223776223776 1 "Adult" NA "red"
