"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "cofeeding_indirect_2021_day_1_meters_25_window_28" "A05w" 1 0 0.0394830568840948 1 "Adult" NA "red"
"3" 1 "cofeeding_indirect_2021_day_1_meters_25_window_28" "A15w" 0.962962962962963 0.136752136752137 0.0249652318442387 1 "Adult" "m" "red"
"110" 2 "cofeeding_indirect_2021_day_2_meters_25_window_28" "A03w" 0.681818181818182 0 0.0406159971514583 1 "Adult" "f" "red"
"181" 2 "cofeeding_indirect_2021_day_2_meters_25_window_28" "Y27b" 0.704545454545455 0 0.0525928203800214 1 "Juvenile" NA "red"
"212" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A02w" 0.519230769230769 0 0.0159024614912236 1 "Juvenile" NA "red"
"411" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A53w" 0.519230769230769 0.528054298642534 0.00144567831738396 0 "Juvenile" NA "blue"
"611" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E03w" 0.480769230769231 0.0840120663650076 0.00356941814646129 1 "Adult" "m" "red"
"711" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J06w" 0.576923076923077 0 0.0540018422803337 1 "Adult" "f" "red"
"82" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J11w" 0.576923076923077 0.0247611865258924 0.0415024819610051 0 "Juvenile" "m" "blue"
"92" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J12w" 0.596153846153846 0.0637883358471594 0.0421805434726984 0 "Adult" "f" "blue"
"102" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J15w" 0.557692307692308 0 0.0609487743718336 0 "Adult" NA "blue"
"113" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J17w" 0.653846153846154 0.0311714429361488 0.047873701448237 1 "Juvenile" "m" "red"
"222" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J18w" 0.557692307692308 0 0.0272503966020163 1 "Juvenile" NA "red"
"252" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A03w" 0.557692307692308 0 0.043958855739215 1 "Adult" "f" "red"
"262" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "J16w" 0.557692307692308 0.0148315736551031 0.0413873394401515 1 "Juvenile" "m" "red"
"312" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A08w" 0.173076923076923 0.0404725992961287 0.0019190420142265 1 "Juvenile" NA "red"
"321" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E00w" 0.173076923076923 0.055052790346908 0.00209815260222097 1 "Juvenile" "f" "red"
"331" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A32w" 0.134615384615385 0.0491201608848668 0.000473363696842536 1 "Adult" NA "red"
"341" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "T91b" 0.192307692307692 0 0.00379970318816847 1 "Adult" "m" "red"
"351" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E04w" 0.288461538461538 0.131422825540473 0.00452893915357454 1 "Juvenile" NA "red"
"361" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E05w" 0.230769230769231 0.0491704374057315 0.00211094621564915 1 "Juvenile" "f" "red"
"391" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A35w" 0.25 0.00578179989944696 0.00130494856967402 1 "Juvenile" "f" "red"
"401" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "T71w" 0.211538461538462 0.00955253896430367 0.00167596335909114 1 "Juvenile" NA "red"
"412" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A39w" 0.0769230769230769 0.0468828557063851 0.000102348907425413 1 "Juvenile" "m" "red"
"421" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A31w" 0.153846153846154 0.0568124685771745 0.000486157310270713 1 "Juvenile" "m" "red"
"441" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E02w" 0.134615384615385 0.057315233785822 0.00142009109052761 1 "Adult" NA "red"
"46" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "A33w" 0.0576923076923077 0.0077928607340372 0.00236681848421268 1 "Juvenile" NA "red"
"50" 3 "cofeeding_indirect_2021_day_3_meters_25_window_28" "E07w" 0.0192307692307692 0 1.27936134281767e-05 1 "Adult" "m" "red"
"712" 4 "cofeeding_indirect_2021_day_4_meters_25_window_28" "A78w" 0.782051282051282 0.0216749340125963 0.00432595251065466 1 "Juvenile" "m" "red"
"292" 4 "cofeeding_indirect_2021_day_4_meters_25_window_28" "J39w" 0.384615384615385 0.102854018276096 0.000405891840505869 1 "Juvenile" "m" "red"
"116" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A00w" 0.134328358208955 0.0639951397414084 0.000237151266022912 1 "Adult" NA "red"
"514" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A22w" 0.238805970149254 0.000904568068747173 0.00273027996010994 0 "Adult" NA "blue"
"94" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A55w" 0.597014925373134 0.0652979690293123 0.0180903850363632 1 "Adult" "m" "red"
"194" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "E12w" 0.776119402985075 0 0.04954637219371 1 "Juvenile" "m" "red"
"217" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "T14w" 0.791044776119403 0.00875923413236846 0.017518789677231 0 "Adult" "m" "blue"
"224" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "T53b" 0.805970149253731 0.0453210139777304 0.0158465692116849 1 "Adult" "m" "red"
"264" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "T15w" 0.776119402985075 0 0.0178532337703403 0 "Adult" "f" "blue"
"284" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A10w" 0.776119402985075 0.0734509271822705 0.00845839515481721 0 "Adult" NA "blue"
"323" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A16w" 0.746268656716418 0.0260892507161164 0.00868946561914723 1 "Adult" "f" "red"
"353" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "E13w" 0.835820895522388 0.0924436260257156 0.0446938924427797 1 "Juvenile" "m" "red"
"363" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "E15w" 0.716417910447761 0.00180913613749435 0.0123257850314986 1 "Adult" "m" "red"
"383" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "T66w" 0.716417910447761 0 0.0279595261839321 1 "Juvenile" NA "red"
"393" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "A29w" 0.447761194029851 0.000256294286145032 0.00415926835794031 1 "Adult" "f" "red"
"453" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "E10w" 0.597014925373134 0.155531146575923 0.00689562911974315 1 "Juvenile" "m" "red"
"462" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "E14w" 0.462686567164179 0.017533544399216 0.00194585654172646 1 "Adult" "m" "red"
"541" 5 "cofeeding_indirect_2021_day_5_meters_25_window_28" "J38w" 0.313432835820896 0.0503165988240615 0.00229246223822149 1 "Adult" NA "red"
