"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"4" 1 "coroosting_direct_2021_day_1_meters_25_window_7" "A15w" 0.28 0.0236278998778999 0.0315315315315315 1 "Adult" "m" "red"
"17" 1 "coroosting_direct_2021_day_1_meters_25_window_7" "A05w" 0.44 0.133995661745662 0.0630630630630631 1 "Adult" NA "red"
"101" 2 "coroosting_direct_2021_day_2_meters_25_window_7" "Y27b" 0.130434782608696 0.00172869535188376 0.0170454545454545 1 "Juvenile" NA "red"
"40" 2 "coroosting_direct_2021_day_2_meters_25_window_7" "A03w" 0.173913043478261 0.0167327948487369 0.0170454545454545 1 "Adult" "f" "red"
"511" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "E02w" 0.344262295081967 0.00069384654037 0.0478187919463087 1 "Adult" NA "red"
"72" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "J06w" 0.262295081967213 0.040436502148888 0.0176174496644295 1 "Adult" "f" "red"
"162" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A39w" 0.163934426229508 0.0278217997986587 0.0100671140939597 1 "Juvenile" "m" "red"
"242" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "E04w" 0.0491803278688525 0.00290007806401249 0.00251677852348993 1 "Juvenile" NA "red"
"252" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "E07w" 0.0983606557377049 0.0190260781104935 0.00503355704697987 1 "Adult" "m" "red"
"262" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "J11w" 0.0819672131147541 0.0594653088825602 0.00419463087248322 0 "Juvenile" "m" "blue"
"271" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A03w" 0.19672131147541 0.00665243951497255 0.011744966442953 1 "Adult" "f" "red"
"48" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A33w" 0.0655737704918033 0.0264379184870988 0.00335570469798658 1 "Juvenile" NA "red"
"49" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "E05w" 0.0491803278688525 0.0327868852459016 0.00335570469798658 1 "Juvenile" "f" "red"
"50" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "E00w" 0.0327868852459016 0 0.00167785234899329 1 "Juvenile" "f" "red"
"51" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "J17w" 0.0327868852459016 0 0.00251677852348993 1 "Juvenile" "m" "red"
"52" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "T91b" 0.0491803278688525 0.000206987911905945 0.00251677852348993 1 "Adult" "m" "red"
"54" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A35w" 0.0327868852459016 0.00014487762318042 0.00167785234899329 1 "Juvenile" "f" "red"
"55" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A53w" 0.0983606557377049 0.0191954258360379 0.00587248322147651 0 "Juvenile" NA "blue"
"58" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A75w" 0.0163934426229508 0 0.00167785234899329 1 "Adult" NA "red"
"59" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A31w" 0.0655737704918033 0.00113118893856599 0.00419463087248322 1 "Juvenile" "m" "red"
"60" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "A32w" 0.0163934426229508 0 0.000838926174496644 1 "Adult" NA "red"
"61" 3 "coroosting_direct_2021_day_3_meters_25_window_7" "J15w" 0.0327868852459016 0 0.00335570469798658 0 "Adult" NA "blue"
"442" 4 "coroosting_direct_2021_day_4_meters_25_window_7" "J39w" 0.246153846153846 0.029454772801381 0.0147515527950311 1 "Juvenile" "m" "red"
"65" 4 "coroosting_direct_2021_day_4_meters_25_window_7" "A78w" 0.0153846153846154 0 0.00077639751552795 1 "Juvenile" "m" "red"
"74" 5 "coroosting_direct_2021_day_5_meters_25_window_7" "A00w" 0.06 0 0.010989010989011 1 "Adult" NA "red"
"164" 5 "coroosting_direct_2021_day_5_meters_25_window_7" "T14w" 0.16 0.0205972564357658 0.0302197802197802 0 "Adult" "m" "blue"
"217" 5 "coroosting_direct_2021_day_5_meters_25_window_7" "T53b" 0.2 0.0265079365079365 0.0467032967032967 1 "Adult" "m" "red"
