"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"6" 1 "coroosting_indirect_2021_day_1_meters_25_window_28" "A05w" 0.758620689655172 0.0689655172413793 0.0672514619883041 1 "Adult" NA "red"
"15" 1 "coroosting_indirect_2021_day_1_meters_25_window_28" "A15w" 0.620689655172414 0.00682546790921175 0.0380116959064327 1 "Adult" "m" "red"
"191" 2 "coroosting_indirect_2021_day_2_meters_25_window_28" "Y27b" 0.795918367346939 0.00763356567352508 0.0338105391410295 1 "Juvenile" NA "red"
"201" 2 "coroosting_indirect_2021_day_2_meters_25_window_28" "A03w" 0.877551020408163 0.00985812495278124 0.0289369479134938 1 "Adult" "f" "red"
"112" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J17w" 0.591549295774648 0.0068236905714661 0.0196921231507397 1 "Juvenile" "m" "red"
"411" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A02w" 0.71830985915493 0.0206559088916787 0.0115953618552579 1 "Juvenile" NA "red"
"511" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A03w" 0.732394366197183 0.00178993018822239 0.0230907636945222 1 "Adult" "f" "red"
"86" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A31w" 0.647887323943662 0.00939355375910278 0.0131947221111555 1 "Juvenile" "m" "red"
"92" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A53w" 0.690140845070423 0.0106803932951714 0.0157936825269892 0 "Juvenile" NA "blue"
"113" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J06w" 0.746478873239437 0.00232162505310353 0.0372850859656138 1 "Adult" "f" "red"
"122" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J11w" 0.591549295774648 0.00200995159081118 0.0264894042383047 0 "Juvenile" "m" "blue"
"132" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J16w" 0.577464788732394 0.00941340837092575 0.0124950019992003 1 "Juvenile" "m" "red"
"242" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J15w" 0.47887323943662 0.00274299014202741 0.0123950419832067 0 "Adult" NA "blue"
"282" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J18w" 0.492957746478873 0.000706303135331802 0.0135945621751299 1 "Juvenile" NA "red"
"341" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A08w" 0.816901408450704 0.0386052498782775 0.0128948420631747 1 "Juvenile" NA "red"
"351" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A32w" 0.577464788732394 0.0321680584742388 0.00499800079968013 1 "Adult" NA "red"
"371" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A35w" 0.774647887323944 0.030091803695813 0.0119952019192323 1 "Juvenile" "f" "red"
"381" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A75w" 0.549295774647887 0.0120950845395171 0.00719712115153938 1 "Adult" NA "red"
"391" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E05w" 0.605633802816901 0.011561695901849 0.0134946021591363 1 "Juvenile" "f" "red"
"412" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "T91b" 0.549295774647887 0.0192872561248675 0.00569772091163535 1 "Adult" "m" "red"
"431" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A39w" 0.676056338028169 0.0228238754586666 0.0108956417433027 1 "Juvenile" "m" "red"
"441" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "A33w" 0.76056338028169 0.0181839325678613 0.0169932027189124 1 "Juvenile" NA "red"
"451" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E00w" 0.845070422535211 0.030966721490292 0.017093162734906 1 "Juvenile" "f" "red"
"461" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E02w" 0.830985915492958 0.0227976300542406 0.0278888444622151 1 "Adult" NA "red"
"481" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E03w" 0.492957746478873 0.00686885790256361 0.023390643742503 1 "Adult" "m" "red"
"51" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "T71w" 0.577464788732394 0.0306804031213278 0.00879648140743703 1 "Juvenile" NA "red"
"55" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E04w" 0.661971830985915 0.0332932100941555 0.00819672131147541 1 "Juvenile" NA "red"
"59" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "J12w" 0.380281690140845 0.00425912400423318 0.00739704118352659 0 "Adult" "f" "blue"
"70" 3 "coroosting_indirect_2021_day_3_meters_25_window_28" "E07w" 0.704225352112676 0.018748379690761 0.00999600159936026 1 "Adult" "m" "red"
"163" 4 "coroosting_indirect_2021_day_4_meters_25_window_28" "A78w" 0.63855421686747 0.00182180537636912 0.023156760990894 1 "Juvenile" "m" "red"
"243" 4 "coroosting_indirect_2021_day_4_meters_25_window_28" "J39w" 0.63855421686747 0.00254050172369625 0.011896602369529 1 "Juvenile" "m" "red"
"415" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "J38w" 0.549295774647887 0.0334786963988165 0.0064717859220477 1 "Adult" NA "red"
"104" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E11w" 0.591549295774648 0.0162223017720501 0.00959860383944154 1 "Juvenile" "m" "red"
"144" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A00w" 0.422535211267606 0.0403932995395842 0.0043630017452007 1 "Adult" NA "red"
"154" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A55w" 0.366197183098592 0.0383252081341548 0.00312681791739383 1 "Adult" "m" "red"
"174" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A22w" 0.535211267605634 0.00523529751049331 0.0191244909831297 0 "Adult" NA "blue"
"217" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E13w" 0.605633802816901 0.0591042132783816 0.00741710296684119 1 "Juvenile" "m" "red"
"224" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A16w" 0.605633802816901 0.0184712180496197 0.0133071553228621 1 "Adult" "f" "red"
"254" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "T14w" 0.647887323943662 0.0116105078795718 0.0160703897614892 0 "Adult" "m" "blue"
"304" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "T15w" 0.197183098591549 0.00473108450310267 0.00756253635834788 0 "Adult" "f" "blue"
"403" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A10w" 0.323943661971831 0.0609161870733303 0.00639906922629436 0 "Adult" NA "blue"
"416" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "A29w" 0.647887323943662 0.0336806134877718 0.0116346713205352 1 "Adult" "f" "red"
"443" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "T53b" 0.619718309859155 0.00438059211848821 0.0460296684118674 1 "Adult" "m" "red"
"473" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E14w" 0.436619718309859 0 0.0277050610820244 1 "Adult" "m" "red"
"493" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E15w" 0.394366197183099 0.0199520241050394 0.0079261198371146 1 "Adult" "m" "red"
"503" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "T66w" 0.535211267605634 0.0319540297696033 0.00836242001163467 1 "Juvenile" NA "red"
"632" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E10w" 0.0845070422535211 0.00116879662855207 0.00116346713205352 1 "Juvenile" "m" "red"
"652" 5 "coroosting_indirect_2021_day_5_meters_25_window_28" "E12w" 0.323943661971831 0.0352480937323214 0.00341768470040721 1 "Juvenile" "m" "red"
"61" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "E13w" 0.675 0.00574285361783402 0.0179798196650923 1 "Juvenile" "m" "red"
"8" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "J06w" 0.775 0.00213699473749214 0.0205560326320309 0 "Adult" "f" "blue"
"17" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "K39" 0.425 0.00558790070390746 0.00869471876341778 1 "Adult" "f" "red"
"19" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "T50b" 0.5625 0.00725410560502839 0.012881064834693 1 "Adult" "m" "red"
"37" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "J17w" 0.75 0.0232189255303993 0.0123443537999141 1 "Juvenile" "m" "red"
"45" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "E45w" 0.8125 0.00772631442264948 0.0215221124946329 1 "Juvenile" "f" "red"
"69" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "E38w" 0.4875 0.0197129153129201 0.00483039931300988 1 "Juvenile" "m" "red"
"79" 1 "coroosting_indirect_2022_day_1_meters_25_window_28" "E17w" 0.175 0.0018023341275533 0.00434735938170889 1 "Adult" "m" "red"
"110" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A31w" 0.684210526315789 0.00681721208463327 0.0177522935779817 0 "Juvenile" "m" "blue"
"210" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A35w" 0.631578947368421 0.017543958925898 0.0119724770642202 0 "Juvenile" "f" "blue"
"410" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A56w" 0.536842105263158 0.00552637853334965 0.00871559633027523 0 "Adult" "m" "blue"
"610" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E05w" 0.621052631578947 0.0182563562296193 0.00830275229357798 1 "Juvenile" "f" "red"
"97" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E47w" 0.6 0.0349489501466926 0.00986238532110092 1 "Juvenile" "f" "red"
"111" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J00w" 0.642105263157895 0.00872354234548308 0.00931192660550459 0 "Juvenile" "m" "blue"
"121" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J11w" 0.694736842105263 0.0077770551409637 0.0145871559633028 1 "Adult" "m" "red"
"141" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J17w" 0.789473684210526 0.0016526769237403 0.0234403669724771 1 "Juvenile" "m" "red"
"151" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J31w" 0.715789473684211 0.00932547015848988 0.0136697247706422 1 "Adult" "m" "red"
"161" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J39w" 0.431578947368421 0.00402350885515899 0.0110550458715596 1 "Juvenile" "m" "red"
"171" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J52w" 0.484210526315789 0.00797982847920361 0.0119266055045872 1 "Juvenile" "m" "red"
"1911" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "Y27b" 0.663157894736842 0.00496575084944191 0.0146330275229358 1 "Juvenile" NA "red"
"211" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A53w" 0.684210526315789 0.0262144481957712 0.00899082568807339 0 "Juvenile" NA "blue"
"221" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E06w" 0.557894736842105 0.00301324311255288 0.0100917431192661 1 "Adult" "m" "red"
"231" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J54w" 0.4 0.0195516462069272 0.00596330275229358 0 "Juvenile" "f" "blue"
"241" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T19b" 0.663157894736842 0.0105152534917626 0.0142201834862385 1 "Adult" "m" "red"
"271" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T76w" 0.663157894736842 0.00530813376002611 0.0249082568807339 1 "Juvenile" "m" "red"
"311" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E33w" 0.431578947368421 0.0124917252602831 0.0058256880733945 0 "Adult" "f" "blue"
"3511" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J34w" 0.610526315789474 0.00757151362943401 0.0193577981651376 1 "Juvenile" "f" "red"
"361" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T51b" 0.663157894736842 0.00152657491755146 0.0165596330275229 1 "Adult" "m" "red"
"401" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T77w" 0.452631578947368 0.00912125581350416 0.00389908256880734 0 "Juvenile" "m" "blue"
"4111" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A03w" 0.663157894736842 0.00786894856565296 0.0225688073394495 1 "Adult" "f" "red"
"4411" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A50w" 0.357894736842105 0.000502494441856854 0.00743119266055046 0 "Adult" "m" "blue"
"4511" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T25b" 0.684210526315789 0.00888520724889412 0.0202752293577982 0 "Adult" "f" "blue"
"4611" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "Y26b" 0.473684210526316 0.0173580404420468 0.00729357798165138 0 "Juvenile" "f" "blue"
"4811" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A73w" 0.652631578947368 0.0171912816791364 0.0125688073394495 0 "Adult" "f" "blue"
"491" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T99b" 0.389473684210526 0.000346237202702864 0.00811926605504587 0 "Adult" "m" "blue"
"5111" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E15w" 0.463157894736842 0.012593848642805 0.0211467889908257 0 "Adult" "m" "blue"
"521" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E51w" 0.568421052631579 0.00703604773721937 0.0159633027522936 1 "Adult" "f" "red"
"541" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A19w" 0.715789473684211 0.00573335738659853 0.0169266055045872 0 "Adult" "f" "blue"
"551" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E00w" 0.410526315789474 0.0372092411864644 0.00435779816513761 0 "Juvenile" "f" "blue"
"571" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J29w" 0.473684210526316 0.00554847182801797 0.0168348623853211 0 "Adult" "f" "blue"
"581" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T13w" 0.642105263157895 0.00554644702736286 0.0239449541284404 1 "Adult" "m" "red"
"591" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T53b" 0.505263157894737 0.0085535259710621 0.0173853211009174 0 "Adult" "m" "blue"
"611" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J79w" 0.252631578947368 0.0417914415567288 0.00114678899082569 0 "Adult" "m" "blue"
"631" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J50w" 0.336842105263158 0.0118956554592728 0.0119724770642202 1 "Juvenile" "m" "red"
"641" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E10w" 0.4 0.0317889852290905 0.00435779816513761 1 "Juvenile" "m" "red"
"691" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E12w" 0.557894736842105 0.0353399600336021 0.00559633027522936 0 "Juvenile" "m" "blue"
"711" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "J16w" 0.484210526315789 0.0349526928078385 0.00568807339449541 0 "Juvenile" "m" "blue"
"731" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T86b" 0.378947368421053 0.0170158925376157 0.00353211009174312 0 "Adult" "f" "blue"
"741" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A39w" 0.2 0.023270438680183 0.00339449541284404 1 "Juvenile" "m" "red"
"751" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A01w" 0.136842105263158 0.00230169176068151 0.000963302752293578 1 "Juvenile" "f" "red"
"791" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T91b" 0.0842105263157895 0.00067235769112414 0.000779816513761468 1 "Adult" "m" "red"
"82" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T14w" 0.421052631578947 0.0159338392697895 0.00522935779816514 1 "Adult" "m" "red"
"83" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "K39" 0.326315789473684 0.0103553599874653 0.00600917431192661 0 "Adult" "f" "blue"
"85" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "T90b" 0.231578947368421 0.00212526835486428 0.011743119266055 0 "Adult" "m" "blue"
"861" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A57w" 0.389473684210526 0.0175433250579777 0.0145412844036697 1 "Adult" "f" "red"
"87" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "A55w" 0.189473684210526 0.00122939676898597 0.00344036697247706 0 "Adult" "m" "blue"
"89" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E03w" 0.0631578947368421 0.000353682541228186 0.000596330275229358 1 "Adult" "m" "red"
"93" 2 "coroosting_indirect_2022_day_2_meters_25_window_28" "E01w" 0.0315789473684211 0.0218076734762065 0.000137614678899083 1 "Juvenile" "m" "red"
