"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "coroosting_direct_2021_day_1_meters_25_window_14" "A05w" 0.555555555555556 0.153489063959149 0.0607734806629834 1 "Adult" NA "red"
"22" 1 "coroosting_direct_2021_day_1_meters_25_window_14" "A15w" 0.407407407407407 0.016267540626515 0.0469613259668508 1 "Adult" "m" "red"
"110" 2 "coroosting_direct_2021_day_2_meters_25_window_14" "A03w" 0.425531914893617 0.0400639746856083 0.0186991869918699 1 "Adult" "f" "red"
"131" 2 "coroosting_direct_2021_day_2_meters_25_window_14" "Y27b" 0.319148936170213 0.00886765299825419 0.0186991869918699 1 "Juvenile" NA "red"
"112" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A08w" 0.157142857142857 0.0166411117562321 0.00625 1 "Juvenile" NA "red"
"212" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J12w" 0.185714285714286 0.0138221841104911 0.00909090909090909 0 "Adult" "f" "blue"
"311" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J16w" 0.114285714285714 0.00501633792938141 0.00454545454545455 1 "Juvenile" "m" "red"
"73" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E02w" 0.328571428571429 0.00120613989996526 0.0409090909090909 1 "Adult" NA "red"
"142" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J06w" 0.328571428571429 0.00468528590877302 0.0227272727272727 1 "Adult" "f" "red"
"152" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E00w" 0.171428571428571 0.00888409494437031 0.00909090909090909 1 "Juvenile" "f" "red"
"192" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A53w" 0.257142857142857 0.0360141066349283 0.0119318181818182 0 "Juvenile" NA "blue"
"202" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J15w" 0.214285714285714 0.0152994555417932 0.0119318181818182 0 "Adult" NA "blue"
"242" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A39w" 0.228571428571429 0.00758076165085334 0.0136363636363636 1 "Juvenile" "m" "red"
"272" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J18w" 0.2 0.00637603597124202 0.0102272727272727 1 "Juvenile" NA "red"
"291" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A02w" 0.157142857142857 0.00180659222993946 0.00965909090909091 1 "Juvenile" NA "red"
"301" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A35w" 0.142857142857143 0.0112181069497955 0.00625 1 "Juvenile" "f" "red"
"312" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J11w" 0.157142857142857 0.00751551471608968 0.00852272727272727 0 "Juvenile" "m" "blue"
"321" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A03w" 0.242857142857143 0.0218190732523654 0.0130681818181818 1 "Adult" "f" "red"
"341" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E04w" 0.114285714285714 0.00416585346931966 0.00511363636363636 1 "Juvenile" NA "red"
"431" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E07w" 0.1 0.00322936783996388 0.00511363636363636 1 "Adult" "m" "red"
"441" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A33w" 0.142857142857143 0.00512658753305698 0.00795454545454545 1 "Juvenile" NA "red"
"63" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "J17w" 0.142857142857143 0.00977972805963777 0.00625 1 "Juvenile" "m" "red"
"64" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A31w" 0.171428571428571 0.00976894233254653 0.00852272727272727 1 "Juvenile" "m" "red"
"65" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E05w" 0.128571428571429 0.00279885688270781 0.00738636363636364 1 "Juvenile" "f" "red"
"67" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "T91b" 0.0714285714285714 0.00208264833878406 0.00284090909090909 1 "Adult" "m" "red"
"68" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A32w" 0.0428571428571429 0.000613130830522135 0.00170454545454545 1 "Adult" NA "red"
"69" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "E03w" 0.0714285714285714 0 0.00852272727272727 1 "Adult" "m" "red"
"70" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "T71w" 0.0142857142857143 0 0.00113636363636364 1 "Juvenile" NA "red"
"71" 3 "coroosting_direct_2021_day_3_meters_25_window_14" "A75w" 0.0142857142857143 0 0.00113636363636364 1 "Adult" NA "red"
"114" 4 "coroosting_direct_2021_day_4_meters_25_window_14" "J39w" 0.294117647058824 0.0196601466734723 0.0116931711880262 1 "Juvenile" "m" "red"
"283" 4 "coroosting_direct_2021_day_4_meters_25_window_14" "A78w" 0.176470588235294 0.0076147354643485 0.00654817586529467 1 "Juvenile" "m" "red"
"514" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A00w" 0.140350877192982 0.0147187545079854 0.0131195335276968 1 "Adult" NA "red"
"75" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A16w" 0.210526315789474 0.0446781199367034 0.0189504373177843 1 "Adult" "f" "red"
"94" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A29w" 0.298245614035088 0.10977738014151 0.032069970845481 1 "Adult" "f" "red"
"174" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "T53b" 0.228070175438596 0.0158993707302946 0.0364431486880466 1 "Adult" "m" "red"
"194" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "T14w" 0.192982456140351 0.0271655034017778 0.0204081632653061 0 "Adult" "m" "blue"
"264" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A10w" 0.157894736842105 0.0359934198509206 0.0145772594752187 0 "Adult" NA "blue"
"353" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E13w" 0.105263157894737 0.00642039458694583 0.0116618075801749 1 "Juvenile" "m" "red"
"363" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "J38w" 0.0175438596491228 0 0.00145772594752187 1 "Adult" NA "red"
"403" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E12w" 0.140350877192982 0.0107323382884223 0.0116618075801749 1 "Juvenile" "m" "red"
"473" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E11w" 0.210526315789474 0.0567777294937879 0.0174927113702624 1 "Juvenile" "m" "red"
"483" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "T66w" 0.0350877192982456 0 0.00291545189504373 1 "Juvenile" NA "red"
"502" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E10w" 0.0526315789473684 0 0.0043731778425656 1 "Juvenile" "m" "red"
"515" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A22w" 0.105263157894737 0.0140825774754346 0.0087463556851312 0 "Adult" NA "blue"
"522" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E14w" 0.0175438596491228 0 0.00145772594752187 1 "Adult" "m" "red"
"542" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "E15w" 0.0526315789473684 0.00145916168868286 0.0087463556851312 1 "Adult" "m" "red"
"552" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "T15w" 0.087719298245614 0.00816177440677198 0.0102040816326531 0 "Adult" "f" "blue"
"582" 5 "coroosting_direct_2021_day_5_meters_25_window_14" "A55w" 0.0175438596491228 0 0.00145772594752187 1 "Adult" "m" "red"
"11" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "J06w" 0.269230769230769 0.00901667446635456 0.0177797051170859 0 "Adult" "f" "blue"
"18" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "E13w" 0.294871794871795 0.0262998427088474 0.0190806591500434 1 "Juvenile" "m" "red"
"21" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "J17w" 0.307692307692308 0.0581876412153938 0.0151777970511709 1 "Juvenile" "m" "red"
"29" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "E45w" 0.525641025641026 0.0843043131479645 0.0277536860364267 1 "Juvenile" "f" "red"
"32" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "T50b" 0.166666666666667 0.0111978958492692 0.01040763226366 1 "Adult" "m" "red"
"33" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "E38w" 0.256410256410256 0.0246402055359155 0.01040763226366 1 "Juvenile" "m" "red"
"681" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "K39" 0.0897435897435897 0.00608195865269674 0.00303555941023417 1 "Adult" "f" "red"
"79" 1 "coroosting_direct_2022_day_1_meters_25_window_14" "E17w" 0.0512820512820513 0.00057102094917221 0.00433651344319167 1 "Adult" "m" "red"
"310" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "J31w" 0.371794871794872 0.056187544825955 0.0181013676588898 1 "Adult" "m" "red"
"410" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "J17w" 0.461538461538462 0.038543978342257 0.0229283990345937 1 "Juvenile" "m" "red"
"510" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "A19w" 0.384615384615385 0.00855515949794482 0.0253419147224457 0 "Adult" "f" "blue"
"610" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "T13w" 0.435897435897436 0.0217607683628252 0.0301689460981496 1 "Adult" "m" "red"
"710" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "A31w" 0.41025641025641 0.0460933334023216 0.0160901045856798 0 "Juvenile" "m" "blue"
"101" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "A73w" 0.294871794871795 0.0180531234521157 0.0116653258246179 0 "Adult" "f" "blue"
"111" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "T53b" 0.371794871794872 0.0174302301445122 0.0189058728881738 0 "Adult" "m" "blue"
"121" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "K39" 0.0256410256410256 0 0.00201126307320998 0 "Adult" "f" "blue"
"151" 2 "coroosting_direct_2022_day_2_meters_25_window_14" "A56w" 0.294871794871795 0.0106995258794184 0.0152855993563958 0 "Adult" "m" "blue"
