"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"1" 1 "coroosting_indirect_2021_day_1_meters_25_window_14" "A05w" 0.615384615384615 0.0833113553113553 0.10952380952381 1 "Adult" NA "red"
"18" 1 "coroosting_indirect_2021_day_1_meters_25_window_14" "A15w" 0.5 0.0681314796314796 0.0365079365079365 1 "Adult" "m" "red"
"131" 2 "coroosting_indirect_2021_day_2_meters_25_window_14" "Y27b" 0.5625 0.0114175498810798 0.0283486888731396 1 "Juvenile" NA "red"
"241" 2 "coroosting_indirect_2021_day_2_meters_25_window_14" "A03w" 0.729166666666667 0.0510483296931796 0.0287030474840539 1 "Adult" "f" "red"
"212" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J18w" 0.453125 0.0244013328534428 0.0151431718061674 1 "Juvenile" NA "red"
"411" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "A08w" 0.421875 0.0559739369717633 0.00963656387665198 1 "Juvenile" NA "red"
"511" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "A53w" 0.546875 0.103153327263159 0.0165198237885463 0 "Juvenile" NA "blue"
"611" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J06w" 0.734375 0.043811800105059 0.0319383259911894 1 "Adult" "f" "red"
"113" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J17w" 0.296875 0.0294339760247977 0.00633259911894273 1 "Juvenile" "m" "red"
"162" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "E00w" 0.453125 0.0267202838706311 0.0159691629955947 1 "Juvenile" "f" "red"
"172" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J12w" 0.21875 0.00750349941309953 0.00605726872246696 0 "Adult" "f" "blue"
"213" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "A32w" 0.171875 0.0227222599651623 0.00302863436123348 1 "Adult" NA "red"
"232" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "A35w" 0.484375 0.0334219504999034 0.0148678414096916 1 "Juvenile" "f" "red"
"242" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J11w" 0.375 0.0203590068586727 0.013215859030837 0 "Juvenile" "m" "blue"
"281" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "A33w" 0.390625 0.0586238471743455 0.0107378854625551 1 "Juvenile" NA "red"
"291" 3 "coroosting_indirect_2021_day_3_meters_25_window_14" "J15w" 0.421875 0.0108358695756319 0.0170704845814978 0 "Adult" NA "blue"
