year,sample_event_date,sample_event_date_edb,Location,Nili_id,wing_tag,movebank_id,edb_id,movebank_study,Sample_lab,Sample_field,new/recapture,DNA_extraction_date,PCR_date,pos_neg,PCR_remarks,RringUp,LringUp,Transmitter_ID,deploy_on_date,deploy_off_date,Weight ,TIMI,hatching_year,birth_year,origin,sex,Notes 
2022,03 October 2022,2022-10-03,SB,plettenberg,A55 White,A55w,A55w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA1,1,recap,11 July 2023,17 July 2023,neg,,C75 Yellow,PP-0075,213560,"Wednesday, September 29, 2021","Wednesday, October 19, 2022",7.7,4149567,2003,2003,Wild,m,
2022,03 October 2022,2022-10-03,SB,gobi,J37 White,K39,K39,Gyps fulvus INPA Hatzofe,NA2,2,recap,11 July 2023,17 July 2023,neg,,PP-0051,X42 Blue,17488,"Sunday, September 17, 2017",,7.9,4149569,2006,2006,Wild,f,
2022,03 October 2022,2022-10-03,SB,tzaror,T99 Black,T99b,T99b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA3,3,recap,11 July 2023,17 July 2023,neg,suspected,PP-0695,1H2 Black,202388,"Monday, September 14, 2020",,7.2,4149708,2011,2011,Wild,m,
2022,03 October 2022,2022-10-03,SB,kilkenny,E03 White,E03,E03w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA4,4,recap,11 July 2023,17 July 2023,pos,,9E3 Yellow,PP-0984,225176,"Monday, October 3, 2022","Friday, October 14, 2022",7.6,4149570,2016,2016,Wild,m,transmitter 213571 removed
2022,03 October 2022,2022-10-03,SB,hendrix,J17 White,J17w,J17w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA5,5,recap,11 July 2023,17 July 2023,pos,,PP-0728,H05 White,202409,"Friday, September 4, 2020",,7.2,4149571,2020,2020,Wild,m,new mark
2022,03 October 2022,2022-10-03,SB,adam,A01 White,A01w,A01w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA6,6,recap,11 July 2023,17 July 2023,pos,suspected,PP-0743,H37 White,225172,"Monday, October 3, 2022",,8.5,4149572,2020,2020,Wild,f,
2022,03 October 2022,2022-10-03,SB,dome,A19 White,A19w,A19w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA7,8,recap,11 July 2023,17 July 2023,neg,suspected,PP-0686,H15 Blue,213596,"Wednesday, September 29, 2021",,8,4149575,2016,2016,Wild,f,
2022,03 October 2022,2022-10-03,SB,altair,E51 White,E51w,E51w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA8,9,recap,11 July 2023,17 July 2023,pos,,9H6 Black,PP-0407,202379,"Monday, October 3, 2022",,8.3,4149576,2007,2007,Wild,f,
2022,03 October 2022,2022-10-03,SB,scout,T13 White,Y69>T13W,T13w,Gyps fulvus INPA Hatzofe,NA9,10,recap,11 July 2023,17 July 2023,pos,strong,E33 Yellow,PP-0054,16036,"Monday, December 10, 2018","Monday, October 3, 2022",8.5,4149577,2006,2006,Wild,m,transmitter 16036 removed on 3rd of october
2022,03 October 2022,2022-10-03,SB,echo,E12 White,E12w,E12w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA10,11,recap,11 July 2023,17 July 2023,neg,,PP-0803,H28 Blue,213594,"Wednesday, September 29, 2021",,7.4,4149578,2021,2021,Wild,m,
2022,03 October 2022,2022-10-03,SB,caine,A03 White,A03w,A03w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA11,13,recap,11 July 2023,17 July 2023,pos,strong,9E0 Yellow,PP-0636,202398,"Tuesday, September 8, 2020",,8.6,4149580,2016,2016,Wild,f,
2022,03 October 2022,2022-10-03,SB,neufneuf,A31 White,A31w,A31w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA12,14,recap,11 July 2023,17 July 2023,neg,,PP-0758,C99 Yellow,213572,"Monday, September 13, 2021",,7.4,4149581,2021,2021,Wild,m,fluids
2022,03 October 2022,2022-10-03,SB,pindus,A39 White,A39w,A39w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA13,16,recap,11 July 2023,17 July 2023,pos,strong,C92 Yellow,PP-0808,213576,"Monday, September 13, 2021",,7.3,4149584,2021,2021,Wild,m,
2022,03 October 2022,2022-10-03,SB,thronos,E00 White,E00w,E00w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA14,17,recap,11 July 2023,17 July 2023,neg,suspected,PP-0816,C83 Yellow,213554,"Monday, September 13, 2021",,7.1,4149585,2021,2021,Wild,f,
2022,03 October 2022,2022-10-03,SB,circus,J54 White,J54 White,J54w,Gyps fulvus INPA Hatzofe,NA15,18,recap,11 July 2023,17 July 2023,neg,,PP-0666,H54 Blue,200376,"Friday, November 6, 2020",,8.2,4149586,2019,2019,Captive born,f,
2022,03 October 2022,2022-10-03,SB,root,T90 Black,T90b,T90b,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA16,19,recap,11 July 2023,17 July 2023,neg,suspected,H23 White,PP-0644,213563,"Wednesday, September 29, 2021",,7.6,4149587,2015,2015,Wild,m,
2022,03 October 2022,2022-10-03,SB,skala,A35 White,A35w,A35w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA17,20,recap,13 July 2023,17 July 2023,neg,suspected,PP-0815,C84 Yellow,213562,"Monday, September 13, 2021",,6.7,4149588,2021,2021,Wild,f,
2022,03 October 2022,2022-10-03,SB,phili,T76 White,T76w,T76w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,NA18,21,recap,13 July 2023,17 July 2023,pos,,PP-0865,H47 White,202359,"Tuesday, September 8, 2020",,6.9,4149589,2019,2019,Wild,m,
