"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "cofeeding_indirect_2021_day_1_meters_25_window_21" "A05w" 1 0 0.0319668053972711 1 "Adult" NA "red"
"3" 1 "cofeeding_indirect_2021_day_1_meters_25_window_21" "A15w" 0.777777777777778 0 0.0215808992513584 1 "Adult" "m" "red"
"110" 2 "cofeeding_indirect_2021_day_2_meters_25_window_21" "A03w" 0.659090909090909 0 0.0401856396453452 1 "Adult" "f" "red"
"121" 2 "cofeeding_indirect_2021_day_2_meters_25_window_21" "Y27b" 0.681818181818182 0 0.056077818239392 1 "Juvenile" NA "red"
"112" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A08w" 0.183673469387755 0.077593537414966 0.0365853658536585 1 "Juvenile" NA "red"
"212" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J12w" 0.163265306122449 0.0433673469387755 0.0148780487804878 0 "Adult" "f" "blue"
"411" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A35w" 0.26530612244898 0.086734693877551 0.0248780487804878 1 "Juvenile" "f" "red"
"611" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "E02w" 0.142857142857143 0.0630668934240363 0.0270731707317073 1 "Adult" NA "red"
"73" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J17w" 0.26530612244898 0.200751133786848 0.0546341463414634 1 "Juvenile" "m" "red"
"92" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J06w" 0.0408163265306122 0 0.00317073170731707 1 "Adult" "f" "red"
"132" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "T71w" 0.224489795918367 0.119189342403628 0.0319512195121951 1 "Juvenile" NA "red"
"192" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A53w" 0.285714285714286 0.159481292517007 0.0173170731707317 0 "Juvenile" NA "blue"
"222" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A31w" 0.122448979591837 0.0519982993197279 0.00804878048780488 1 "Juvenile" "m" "red"
"232" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A03w" 0.0612244897959184 0 0.00219512195121951 1 "Adult" "f" "red"
"242" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J11w" 0.0612244897959184 0.0215419501133787 0.0048780487804878 0 "Juvenile" "m" "blue"
"252" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J15w" 0.0612244897959184 0.0177154195011338 0.00146341463414634 0 "Adult" NA "blue"
"262" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "J18w" 0.0408163265306122 0 0.00170731707317073 1 "Juvenile" NA "red"
"282" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "E05w" 0.244897959183673 0.0888605442176871 0.0402439024390244 1 "Juvenile" "f" "red"
"291" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "A39w" 0.0816326530612245 0.0743197278911565 0.00195121951219512 1 "Juvenile" "m" "red"
"312" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "E04w" 0.306122448979592 0.226048752834467 0.0863414634146341 1 "Juvenile" NA "red"
"321" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "E07w" 0.0204081632653061 0 0.00024390243902439 1 "Adult" "m" "red"
"331" 3 "cofeeding_indirect_2021_day_3_meters_25_window_21" "E00w" 0.183673469387755 0.0977891156462585 0.04 1 "Juvenile" "f" "red"
